"id","full_name","team_name","position","height","weight","bat_side","pitch_hand","height_inches"
687066,"Eric Yang","Cincinnati Reds","Catcher","5' 10""",185,"R","R",70
642232,"Ryan Yarbrough","Toronto Blue Jays","Pitcher","6' 5""",205,"R","L",77
573262,"Mike Yastrzemski","San Francisco Giants","Outfielder","5' 10""",180,"L","L",70
489446,"Kirby Yates","Texas Rangers","Pitcher","5' 10""",205,"L","R",70
592885,"Christian Yelich","Milwaukee Brewers","Designated Hitter","6' 4""",220,"L","R",76
660766,"Juan Yepez","Washington Nationals","First Base","6' 0""",235,"R","R",72
694377,"Nick Yorke","Pittsburgh Pirates","Third Base","5' 11""",220,"R","R",71
807799,"Masataka Yoshida","Boston Red Sox","Designated Hitter","5' 8""",192,"L","R",68
622065,"Alex Young","New York Mets","Pitcher","6' 3""",220,"L","L",75
664849,"Danny Young","New York Mets","Pitcher","6' 3""",200,"L","L",75
696285,"Jacob Young","Washington Nationals","Outfielder","5' 11""",192,"R","R",71
642239,"Rob Zastryzny","Milwaukee Brewers","Pitcher","6' 3""",231,"R","L",75
664874,"Seby Zavala","Seattle Mariners","Catcher","5' 11""",205,"R","R",71
666171,"Ryan Zeferjahn","Los Angeles Angels","Pitcher","6' 5""",209,"R","R",77
672582,"Angel Zerpa","Kansas City Royals","Pitcher","6' 0""",237,"L","L",72
676604,"Tyler Zuber","Tampa Bay Rays","Pitcher","5' 11""",195,"R","R",71
691172,"Yosver Zulueta","Cincinnati Reds","Pitcher","6' 1""",190,"R","R",73
670871,"Guillo Zuñiga","Los Angeles Angels","Pitcher","6' 5""",230,"R","R",77
